OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,LABEL
CALSPHERE 1,1964-063C,2026-06-24T03:37:34.815360,13.76630305,0.00233699,90.2231,71.935,274.3558,181.4995,0,U,900,999,7238,0.00049498942,4.95e-06,0.0,Satellite
CALSPHERE 2,1964-063E,2026-06-23T23:21:13.407840,13.52900592,0.00176405,90.237,75.9584,202.1113,169.0216,0,U,902,999,85718,3.8720819e-05,3.4e-07,0.0,Satellite
LCS 1,1965-034C,2026-06-24T05:45:52.771104,9.89310773,0.00122846,32.1355,160.2755,148.011,212.1134,0,U,1361,999,21058,0.0016919997,2.1e-07,0.0,Satellite
TEMPSAT 1,1965-065E,2026-06-24T02:43:44.133600,13.33594381,0.0068182,89.9983,212.5947,228.1027,187.671,0,U,1512,999,96097,2.9700630000000004e-05,2.3000000000000002e-07,0.0,Satellite
CALSPHERE 4A,1965-065H,2026-06-24T04:44:35.179296,13.36279602,0.00721436,89.8986,122.4187,83.7012,22.5068,0,U,1520,999,96364,0.0001702456199999,9.9e-07,0.0,Satellite
OPS 5712 (P/L 160),1967-053A,2026-06-24T03:44:26.563200,14.77793612,8.768000000000001e-05,69.9176,21.2144,293.9634,66.1422,0,U,2826,999,6726,0.0008656101699999,6.153e-05,0.0,Satellite
LES-5,1967-066E,2026-06-24T05:13:08.847264,1.09426132,0.00518648,2.6394,96.139,214.1532,277.9623,0,U,2866,999,13111,0.0,-9.8e-07,0.0,Satellite
SURCAL 159,1967-053F,2026-06-24T03:53:14.237376,13.99604218,0.00045294,69.9748,345.8084,115.5729,244.5847,0,U,2872,999,1118,8.073777700000001e-05,6.4e-07,0.0,Satellite
OPS 5712 (P/L 153),1967-053H,2026-06-24T03:23:06.142848,13.9682921,0.00081323,69.974,100.4021,206.0385,154.0313,0,U,2874,999,776,5.0921531e-05,1.8e-07,0.0,Satellite
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-06-24T05:17:45.356640,14.37874692,0.00588447,87.6217,336.855,207.5538,152.254,0,U,5398,999,87489,0.00019779592,6.259999999999999e-06,0.0,Satellite
OSCAR 7 (AO-7),1974-089B,2026-06-24T07:32:19.428000,12.53698145,0.0012633,101.9899,188.635,116.8871,256.4434,0,U,7530,999,36141,5.0599383e-05,-3.8e-07,0.0,Satellite
